,Comments,Positive,Negative,Neutral,Compound,Sentiment
41,ah thought gonna say never x,0.0,0.0,1.0,0.0,Neutral
42,excited period,0.706,0.0,0.294,0.34,Positive
43,great video interesting sort agree whole thing ive stressing true way make money ai especially web  context data people often think big models fancy architectures machine learning thats major component,0.306,0.063,0.631,0.8625,Positive
44,already jan  late start ,0.0,0.0,1.0,0.0,Neutral
45,loved analysis web  ken ive also recently researched bit blockchain cs study totally agreed lot loose ends web  discussion still needs solved become mainstream,0.271,0.083,0.646,0.7031,Positive
46,nice perspective computational chemist applying ml methods im always highly suspicious people excited new methodology even though retail investor crypto projects cant imagine narratives come true,0.25,0.084,0.666,0.6674,Positive
47,tell position bad repeatedly beating soul position bad,0.0,0.667,0.333,-0.875,Negative
48,awesome explanation ken,0.672,0.0,0.328,0.6249,Positive
49,kens videos past year perfect audio quality  think kind bug unexpected thing editing upload  video interesting though hope everyone overlook one time issue focus topic 🌻,0.377,0.0,0.623,0.9136,Positive
50,data librarian web  instrumental making data resources accessible,0.0,0.0,1.0,0.0,Neutral
51,perfect timing video  ive articles  reading list really glad youve nicely introduced us topic ,0.48,0.0,0.52,0.8795,Positive
52,expect ken avery colab 👀👀,0.0,0.0,1.0,0.0,Neutral
53,confused data science ai development web  data publicly available guess like believe owner data would kept anonymous although plenty data web would business make strategies reach audiencescustomers wouldnt like televisionradionewspaper ads also would services reach probable new customersaudiences basically would ai work recommendation would business collect data grow business dont think recommendation system would like throwing anything public want people see people want see facebook youtube hurt,0.162,0.075,0.763,0.3818,Positive
54,bad audio quality,0.0,0.636,0.364,-0.5423,Negative
55,think video audio issue watched completely looking forward read ,0.0,0.0,1.0,0.0,Neutral
56,bro voice problem,0.0,0.574,0.426,-0.4019,Negative
57,believe irrespective field exploring blockchain must explore topic current times,0.0,0.0,1.0,0.0,Neutral
58,secret web  project sounds exciting seriously every transaction publicly available pretty cool idea also kinda scary think credit card bill public 😩,0.36,0.15,0.49,0.7528,Positive
59,eagerly waiting opinion topic,0.464,0.0,0.536,0.3818,Positive
60,please share get started career  ,0.6,0.0,0.4,0.5423,Positive
61,great video thanks advice,0.778,0.0,0.222,0.7906,Positive
62,hey suggest beginner python ml ds related projects college project collegeand also suggest specific course video guide approach learning ds,0.0,0.0,1.0,0.0,Neutral
63,thanks watching everyone new web  project going analysis web  data type web  data would interested seeing us analyze also apologize audio poorer audio quality one using new camera guess didnt tune right,0.187,0.067,0.747,0.5423,Positive
64,noticed video mention tools used data scientist dont say much math thats used regularly seems common trend become data scientist videos almost exclusively talk learning python r sql etc rarely go detail math involved field im masters program data science pretty heavily math focused begin idea future video anyway thanks consistently putting content youre videos really helped understanding direction want go,0.152,0.0,0.848,0.8402,Positive
65,wsl  linux general something familiar getting first job data scientist  resources use learn,0.0,0.0,1.0,0.0,Neutral
66,bro recently suggest nlpbeginner related video great got lot would u plzz suggest must professional level nlp project type tutorial also job video thanks ❤️🙌😃😘🙂,0.241,0.0,0.759,0.7906,Positive
67,take interest politics doesnt mean politics wont take interest youi think happening daysjust take interest data science doesnt mean data science wont take interest,0.375,0.0,0.625,0.9001,Positive
68,video definitely useful  💯 friends data science aspirants think requires little base understand terms completely unaware it🙃,0.382,0.092,0.526,0.7655,Positive
69,ad campaign good 🙌😂 like  case ppl impacted doctors advice  case  off🙃,0.351,0.0,0.649,0.6597,Positive
70,sir got selected data scientist internshipin  internship  calculate performance evaluation  please give suggestions sir courses useful data scientist job,0.234,0.0,0.766,0.6369,Positive
71,data      spss     jupyter,0.0,0.0,1.0,0.0,Neutral
72,dont learn data science lol im sorry benefit pays really well lacks creativity stressful pressure corporations put utilitarian skills bring table asses translate data hard job id pass,0.282,0.209,0.509,0.5936,Positive
73,video doesnt explain demonstrate anything devs enviroment save work,0.286,0.0,0.714,0.4939,Positive
74,oraganizing many questions,0.0,0.0,1.0,0.0,Neutral
75,data engineer largest shipping company world tell data scientist nothing without data engineer data engineer nothing without software engineer need three working together,0.0,0.0,1.0,0.0,Neutral
76,,0.0,0.0,0.0,0.0,Neutral
77,hi ken im  years old banking industry studied accountancy economics contemplating data science past couple years never felt confident itdata definitely important people mastersmajor statistics upper hand people data science course prior engineering backgroundalso people know various coding languages might upper handrest job trainingplease share response want learn data science im feeling confident future someone background,0.193,0.08,0.728,0.6645,Positive
78,really love see story telling content educative interesting,0.545,0.0,0.455,0.8016,Positive
79,full playlist data science taught scratch ,0.0,0.0,1.0,0.0,Neutral
80,even strange job aspects still decided take job onceinalifetime opportunity work ken 🙌🏼 papayasinctothemoon 🍈🚀 wearegonnabuildsomanypapayadashboardsken,0.151,0.097,0.753,0.25,Positive
81,hello learn pc hardware specs beginners,0.0,0.0,1.0,0.0,Neutral
82,ive many times field well sad think theyre favor,0.345,0.223,0.432,0.1779,Positive
83,ah see youve met former employer,0.0,0.0,1.0,0.0,Neutral
84,mean kens offering take blindly mean gets ken coworker else anyone ask 😳,0.0,0.0,1.0,0.0,Neutral
85,aint even joke lol,0.0,0.678,0.322,-0.4973,Negative
86,love videos ❤️,0.677,0.0,0.323,0.6369,Positive
87,finished online bootcamp course content effectively summarizes ive learned thus far solidified knowledge im glad know im right tracki hope keep making content like educate people like us aspire practice career fascinating data science field,0.374,0.0,0.626,0.946,Positive
88,thanks straightforward indepth explanation im beginner ds im looking forward applying practice biomedical scientist especially focus infectious diseases,0.146,0.0,0.854,0.4404,Positive
89,wow interesting crazy consequences unsupervised machine learning went wrong great video ken well done really enjoyed kind analysis real life problems facing,0.485,0.199,0.316,0.9148,Positive
90,pandas tutorials,0.0,0.0,1.0,0.0,Neutral
91,great help ♥️,0.872,0.0,0.128,0.7783,Positive
92,worth watch video beginner like embarking onto data science learning journey,0.328,0.0,0.672,0.5267,Positive
93,great insights ,0.804,0.0,0.196,0.6249,Positive
94,think interesting differntiate data science statistics guess matter semantics ive never heard someone else say,0.226,0.0,0.774,0.4215,Positive
95,give us clear introduction data scientist thanks,0.524,0.0,0.476,0.6705,Positive
96,complaint might made easy value cert might high,0.424,0.176,0.4,0.4767,Positive
97,great stuff process hopefully moving data science world career videos huge helps research learn understand order make correct decisions career keep coming,0.394,0.0,0.606,0.8934,Positive
98,man voice goodi mean full confidence energetici really love voice valuable tips 💯🤩,0.527,0.0,0.473,0.9033,Positive
99,thank muchi quick questioni midcareer switching data scienceafter completing suggested course work video necessary believe ms degree would bethanks look forward hearing jackie,0.102,0.0,0.898,0.3612,Positive
100,awesome love simplicity well done ken,0.776,0.0,0.224,0.886,Positive
101,z shirt,0.0,0.0,1.0,0.0,Neutral
102,bayesian learning important bbn ability operate probabilistically work incomplete evidence quite powerful also allow interesting dataset qualityimputation checks dont know people dont talk,0.401,0.0,0.599,0.8766,Positive
103,way make links page open new tab instead tab,0.0,0.0,1.0,0.0,Neutral
104,love explanation ds currently  feels like interesting work limits understanding math limits computing power meet forcing innovationsgreat vid always,0.37,0.0,0.63,0.8555,Positive
105,sent brother parents thanks ken,0.42,0.0,0.58,0.4404,Positive
106,thank 🙏🏽 helpful,0.841,0.0,0.159,0.6486,Positive
107, smashed,0.0,0.0,1.0,0.0,Neutral
108,another great example outside data science medical laboratory science years become automated machines lab tests created ability volume need people interpret results make sure okay machines break time job much demand,0.322,0.038,0.639,0.8779,Positive
109,really helpful even data science aspirants 😇🙏,0.34,0.0,0.66,0.4754,Positive
110,people need  say dont hiring skills multiple  different job titles,0.0,0.0,1.0,0.0,Neutral
111,great video kindly request make video deep learning,0.549,0.0,0.451,0.8074,Positive
112,great episode learnings create journal write you’re learning next i’ll take step share world thank sharing conversation,0.533,0.0,0.467,0.9136,Positive
113,great vidéo manclear think good definition ,0.636,0.0,0.364,0.7906,Positive
114,want know tools use means  work jupyter notebooks google collab software whole process pls reply,0.167,0.0,0.833,0.1531,Positive
115,hi ken   video  mentioned geography basic intermediate experience gis spatial data geostatistics working improving data wrangling programming ml skills order land role geospatial data analystscientist thanks short insightful video watching content since  started journey learning data analytics,0.14,0.0,0.86,0.6908,Positive
116,well explained thanks ken,0.714,0.0,0.286,0.6124,Positive
117,hi ken great video also explain role responsibilites full stack data scientist one videos please ,0.33,0.0,0.67,0.7506,Positive
118, theres typo dyslexic brain told read orgasming data dont ask great video btw,0.0,0.215,0.785,-0.5096,Negative
119,great video ken got tips get path learning data science,0.313,0.0,0.687,0.6249,Positive
120,allow comment much admire relationship parents ❤🌻  hope see reacting one videos sometime hahaawesome video ken  family asks ill send lol  probably wont ask tho ,0.319,0.084,0.597,0.7845,Positive
121,pyspark also make sense pay attention could possible private project example,0.0,0.123,0.877,-0.1027,Negative
122,explanation waiting 🙌🏼also hope okay im going drop video next week titled data analytics explanation need 🤣jk,0.23,0.1,0.67,0.4019,Positive
123,overfitting underfitting bias invariance tradeoff please,0.299,0.182,0.519,0.2263,Positive
124,great explanation,0.804,0.0,0.196,0.6249,Positive
125,yes please explain topics i’m new,0.556,0.0,0.444,0.6124,Positive
126,great review forgot lot topics since since ive introduced concepts,0.313,0.0,0.687,0.6249,Positive
127,would love hear application deep learning ds right hear deep learning comes voice recognition  natural language processing type things,0.283,0.0,0.717,0.7717,Positive
128,ken wearing smart ring,0.474,0.0,0.526,0.4019,Positive
129,mondays always much better ken jee videoperfect way start week great video ken,0.389,0.0,0.611,0.7906,Positive
130,papaya easter eggs inside another great informative video  pure genius  fantastic job always,0.412,0.0,0.588,0.8271,Positive
131,agree explanatory video data science one needs yet simple concise ,0.217,0.0,0.783,0.3612,Positive
132,amazing video informative well structured always,0.596,0.0,0.404,0.7096,Positive
133,data science pizza related,0.0,0.0,1.0,0.0,Neutral
134,hey ken final year computer science student started following data science  months back intending final year project issue learn data science basics internet  half months recommend good course machine learning data science pretty much stressed,0.205,0.057,0.738,0.7351,Positive
135,amazing data science explained well 💯really like example used everything simplified ,0.512,0.0,0.488,0.8126,Positive
136, yes want video like deep learning  need pretty powerful pc deep learning,0.641,0.0,0.359,0.8885,Positive
137,great message ken clear concise,0.691,0.0,0.309,0.7717,Positive
138,great video,0.804,0.0,0.196,0.6249,Positive
139,great video ken one first examples data sciencethough called data science comes john snow’s famous map  broad street cholera outbreak germ theory known thought cholera simply environment spread random john snow conducted interviews mapped data points graphed results leading single water pump identified culprit founding moment epidemiology public healthjust sharing learnings well cheers,0.198,0.0,0.802,0.9022,Positive
140,oooo lot editing video 👀 youre really making editor work hard 😂😂 anyway great video really informative ty content papaya bomb ,0.253,0.167,0.58,0.5233,Positive
141,always ken superbly done concise brief without getting much jargon getting pith,0.0,0.0,1.0,0.0,Neutral
142,would love see video deep learning,0.457,0.0,0.543,0.6369,Positive
143,real truth,0.697,0.0,0.303,0.3182,Positive
144,informative usual really nicely explained ken send video someone asked explain data science,0.21,0.0,0.79,0.4927,Positive
145,ken informative thank also love see video regression classification etc,0.456,0.0,0.544,0.7717,Positive
146,"vunrent",0.0,0.0,1.0,0.0,Neutral
147,great video usual ken super well explained happy new year 😊,0.697,0.0,0.303,0.93,Positive
148,super,1.0,0.0,0.0,0.5994,Positive
149,think ml ive deal writing testing protocols evaluating multiple kinds protocols seems something lot online courses miss,0.0,0.091,0.909,-0.1531,Negative
150,sir thank much sharing knowledge awareness 😁but gonna quit even difficult make,0.315,0.149,0.536,0.4215,Positive
151,thanks watching everyone let know would interested similar video deep learning model evaluation  👇,0.337,0.0,0.663,0.6808,Positive
152,accountant tell reason seeing data scientists small midsize companies cannot justify head count  sure amazon whole department data science small business might marketingfinance guy also analyzing data sets company  field dying tight budgets small midsize companies hard justify hiring hiring someone specializes data science cannot core business function  probably change time goes onalso companies grow need data scientists grow well,0.096,0.022,0.882,0.5719,Positive
153,hey ken know old video watching plan project planning work exploratory analysis part say age looks like normally distributed however im pretty sure run shapirowilk test turn nonnormal wondering mean looks normally distributed looking extremely skewed distributions normalize thanks go  ,0.232,0.0,0.768,0.872,Positive
154,pg program,0.0,0.0,1.0,0.0,Neutral
155,history bs basically starting scratch self teaching programing data science thank providing multiple pathways end result cannot afford return college time willing learn time im lost  yo seeing calmly explained lots helpful learning tips youtube still great thank youyear old video doubt anyone see still thank,0.281,0.081,0.639,0.8979,Positive
156,like says algorithm techniques  show us descending  slope  referring gradient descent 😄,0.2,0.0,0.8,0.3612,Positive
157,yes agree watch 😎,0.839,0.0,0.161,0.6369,Positive
158,surroundings tell reason students arent taking data science find statistics hard also consider web development devops likeable easy field,0.253,0.06,0.687,0.6705,Positive
159,sir want make career soccer analystcan please recommend books soccer analytics,0.433,0.0,0.567,0.6249,Positive
160,someones clearly hacking account nobody cares,0.588,0.0,0.412,0.6908,Positive
161,agree everything said video nice see new content new year,0.398,0.0,0.602,0.6486,Positive
162,interview looked like struggle lmao ken see yawning mouth closed 🤣,0.408,0.146,0.446,0.6249,Positive
163,personal goals see data science  data science see  goal  stalk harrass  goal   manipulation deception goal  ripoff naive uninitiated,0.0,0.324,0.676,-0.7351,Negative
164,course exist  world needs vampires personal goals see data science  data science see  goal  stalk harrass  goal   manipulation deception goal  ripoff naive uninitiated,0.0,0.265,0.735,-0.7351,Negative
165,seems silly thing see time anything connected coding ive learning code getting data science year half seen many comments like javascript dying web development dying deno dead already even people ask jquery dead realise many sites still use jquery answer deaddying question usually,0.07,0.168,0.762,-0.7906,Negative
166,would say beautiful readme,0.565,0.0,0.435,0.5994,Positive
167,cool projectken continue playlist ,0.434,0.0,0.566,0.3182,Positive
168,projects projects projects,0.0,0.0,1.0,0.0,Neutral
169,great video,0.804,0.0,0.196,0.6249,Positive
170,immediate reaction know  people arent cheating discouraged taking,0.463,0.0,0.537,0.6348,Positive
171,one friend who’s principal ml engineer kopernikus automotive told best way show skills ml projects products contributing open sourceno badges certificates replace,0.27,0.0,0.73,0.8126,Positive
172,review new z desktops data science,0.0,0.0,1.0,0.0,Neutral
173,hey man wanted ask got wallpaper ,0.0,0.0,1.0,0.0,Neutral
174,hey ken thanks useful video interested learning data science  sure pursue got like  knowledge  could help love india,0.647,0.0,0.353,0.9595,Positive
175,although one year old still worth watch anyone wants build deep learning portfolio,0.137,0.0,0.863,0.2263,Positive
176,initially excited ml assessment doubly scored top   second excitement wore realized assessment weak mean anything almost confirmation friend mine doesnt data science ml passed whim proceeded score top    cs related assessments certifications need hard order carry weight lesson many people seem extremely reluctant learn,0.222,0.12,0.658,0.6735,Positive
177,linkedin clout chaser badges,0.0,0.0,1.0,0.0,Neutral
178,hi sir  currently pursuing  years bachelors degree cse due covid many reasons  take time expected complete bachelors degree possible  start learning data science scratch right get job data science field completing bachelors degree csesecond question apply masters degree data science related field bachelors degreethanks advance,0.0,0.0,1.0,0.0,Neutral
179,first time channel great advice thank going start points said  right video right time ,0.355,0.0,0.645,0.765,Positive
180,cyber security better data science jobs,0.57,0.0,0.43,0.6486,Positive
181,thank information share ive spent several months considering proper career switch deciding return medical school point im confident data science proper career path overarching goal use data science healthcare open fields found channel today want say already grateful content resources share addition video watched video evening mentioned jan  bday happy belated birthday may continue experience joy success,0.348,0.0,0.652,0.9738,Positive
182,watching early  really like breakdown process think solving problems im musician producer recording engineer lot theselearnbydoing divergent thought processes remind lot get good mix composing really excited journey,0.296,0.074,0.63,0.7956,Positive
183,watching starting think struggling learn python pandas well itnis impatiance yes little,0.289,0.169,0.542,0.25,Positive
184,thanks sharing thoughts assessment,0.74,0.0,0.26,0.6908,Positive
185,dude next time please stop going page gave nausea ,0.2,0.191,0.609,0.0258,Neutral
186,give five star video  agree said corp hr put  rocky assessment management idea first place question say degree college certification boot camp created pro field hr clerks corporate thanks,0.222,0.0,0.778,0.7506,Positive
187,video extremely accurate hard time learning data scientist ms data analytics program feel doesnt really provide real direction dont know dont know keeps learning need know seeing path helps thank would like say struggled learn r seem getting sql quickly think help confidence getting one language help learn another confidence standpoint,0.303,0.063,0.634,0.9384,Positive
188,taking paid course good choice data science,0.326,0.0,0.674,0.4404,Positive
189,hi ken thank videos question software developer  years experience mostly web php sql go decided start learning machine learning lot python think person like firstly change position data analyst continue learn ml  right decision  thank,0.19,0.0,0.81,0.7579,Positive
190,yea agree thoughts credibility assessment even business leader cannot imagine helps either business leaders understand machine learning affect products services branding cannot imagine knowing nearest point knearest neighbor algorithm matters,0.11,0.067,0.824,0.1068,Positive
191,like linkedin idea ml assessment thanks sharing,0.672,0.0,0.328,0.802,Positive
192,helpful… thinking career move data science video neededthank much,0.0,0.0,1.0,0.0,Neutral
193,true one youre right,0.483,0.0,0.517,0.4215,Positive
194,thoughts datacamp,0.0,0.0,1.0,0.0,Neutral
195,learning build predictive models watching videos working alongside another screen  really satisfying see code work  especially start experiment parameters  think python important learn r  versatile im learning im curious think,0.221,0.0,0.779,0.7501,Positive
196,ken thank video believe linkedins job search algorithm optimized one preferred skill badge helps user find relevant companies rather help companies find skilled applicants let know agree thank videos really enjoy,0.446,0.0,0.554,0.9538,Positive
197,completely agree took assessment applying jobs year doesnt provide value people taking people hiring,0.166,0.121,0.713,0.1918,Positive
198,use google assessment got top  great imobut agree terminologybased quick test really proof realworld dsml skill,0.393,0.0,0.607,0.8126,Positive
199,fun conversation watch learned lot thank definitely following daniel,0.586,0.0,0.414,0.8176,Positive
200,hey started journey learning data science math find overwhelming much almost dropped idea curiosity gets better keeps track non cs background feel really lost tired comes mathematics involved could please share maths topics sub topics focus get proefficient absolutely grateful get chance share resources refer,0.262,0.1,0.639,0.8119,Positive
201,definitely coming back video  fantastic set questions,0.558,0.0,0.442,0.743,Positive
202,assessments dont matter one else cares,0.372,0.133,0.495,0.4453,Positive
203,wowzer,0.0,0.0,1.0,0.0,Neutral
204,perspective assessments candidates employers take test compare result others questions interesting trivial algorithms theory different methods think coding skill secondary,0.124,0.05,0.826,0.3818,Positive
205,thanks video save many peoples time wonder happen video shared linkedin lol,0.585,0.0,0.415,0.8834,Positive
206,took two accounts main account burner account one main account took without cheating curious see id took almost exactly one year ago today apparently took  passed profile got top  got hired throughout interviews literally never came nobody like hey noticed profile saw math undergrad degree stats grad degree finishing research work experience main burner account took see possible cheat answers super easy could give sister hates anything related mathstatsprogramming googled questions shed pass get profile definitely useless assessment nice video homie,0.171,0.128,0.701,0.643,Positive
207,hi ken taken machine learning assessment passed never saw true value assessment,0.0,0.304,0.696,-0.5216,Negative
208,ive always regarded linkedin assessments fluff,0.0,0.0,1.0,0.0,Neutral
209,good points  think maybe cert could show manager knows various ml terms mean thats,0.182,0.0,0.818,0.4404,Positive
210,ken hear one people need ken jee approved data science assessment linkedinnow thats assessment others think would take,0.141,0.0,0.859,0.4215,Positive
211,hey ken great video haven’t taken ml assessment take python sql quizzes passed believe companies shouldn’t put significant weight linkedin badges specifically python sql assessments tested specific knowledge aren’t necessarily useful projects criticism based assumption assessments designed testing someone qualified worked linkedin great idea linkedin add feature one display projects experience comes practice ,0.202,0.045,0.752,0.875,Positive
212,yes big downer know statistics don´t able fing simple thing absolutely nothing works take  hours surfing one topic another stackoverflow can´t even ch ange color table miss spss much,0.086,0.051,0.863,0.2732,Positive
213,completely agree nervous take ml assessment assumed anything first try would help prepare specifically study retaking  questions would ml general covered needless say shocked basic assessment also poorly represented ml concepts vast majority questions got addressed biasvariance tradeoff couple terminology questions remember correctly dont think overly critical think gave great suggestions alternative approaches would help tech people better showcase skills id love see linkedin implement ideas,0.257,0.056,0.686,0.9492,Positive
214,really like video im student transitioning data science civil engineering even assessments software identify things interfacewise rather applications guess linkedin could partner softwaredatabase companies create courseschallenges part application process personally enjoyed matlab machine learning onramp would like hear thoughts,0.239,0.0,0.761,0.8746,Positive
215,ultimately two factors quality assessment well particular assessments trusted utilized companies third might whether particular assessment relevant particular job evaluating someone starting position versus senior position two slightly different thingsgoogles assessments might fine evaluating potential candidates possibly faang     maang company level expectations requirements across board companyassessments certifications diplomas work experience etc much little weight resume particular recruiter  hiring manager applies,0.109,0.0,0.891,0.7184,Positive
216,ken youve got kiss linkedins ass crappier aspects top voice screwed 🤣,0.251,0.366,0.383,-0.4767,Negative
217,linedin never hire anyone based assessments guarantee create fake name resume take assessment apply linkedin machine learning engineer position company report outcome ken,0.151,0.114,0.735,0.0,Neutral
218,happy new years ken first heard maybe reading wrong put considerable time learning data science takes years questions still  want least know going  want people know stuff participate kaggle like like linkedin really better,0.325,0.07,0.605,0.8553,Positive
219,think overall assessments may necessarily solid indicator could second screen google asap haha also true would great endorse comment showcase someone used given skill,0.421,0.0,0.579,0.9153,Positive
220,haven’t taken linkedin assessments exactly reason,0.0,0.0,1.0,0.0,Neutral
221,feel it’s cuz youtube data community growing every day seem thou there’s new people feels like time grad  much pie would left newbies,0.167,0.0,0.833,0.4939,Positive
222,hi ken hope fineso returning college year going back computer science studying java thatand struggling learn python godness try every possible way turn python official documentation achieve cleary glimpse python nothing much practical found guy corey schaffer really didatic goal month start small data science project local market live already sql mysql aws basics solid background maths stathistics think dont lesson learned knowso thank advice,0.099,0.04,0.862,0.4939,Positive
223, correct ken kind assessment taking value data science learner improve hisher skills value recruiters well learner tried test small enjoyment publishing completing task related data science true skills development recruiting processes doesnt give value ♥️,0.449,0.0,0.551,0.9638,Positive
224,yes initially impacted free certification bad trap days must instantly get must empower recognising resources really valuable learn,0.333,0.206,0.461,0.5563,Positive
225,dont think like linkedin badges agree fully,0.26,0.22,0.52,0.1002,Positive
226,appreciate honest feedback ken,0.75,0.0,0.25,0.7184,Positive
227,might lost chance selected top linkedin voice  something infinitesimally better important integrity theworldneedslesssellouts,0.544,0.113,0.343,0.7783,Positive
228,commenting idk comment wentso first gave ml test passed flying colors friend told github repo answers different linkedin assessments made kind sad meant assessment isnt worth much lol,0.178,0.229,0.593,0.0263,Neutral
229,thanks im even going try linkedin learning,0.326,0.0,0.674,0.4404,Positive
230,agree ken havent heard surely wasnt expecting linkedin checking practical knowledge people considering type platform really poor side,0.107,0.249,0.644,-0.5104,Negative
231,love linkedin also really enjoyed constructive feedbacks agree ml assessment really superficial critically assess ones ml skill sets,0.407,0.0,0.593,0.8832,Positive
232,employers even care assessments dont even care moocs take lot time effort lot places applied made shitty assessments like one tested super niche python features like wtf,0.358,0.173,0.468,0.7845,Positive
233,r assessment back questions relevant experience might better,0.326,0.0,0.674,0.4404,Positive
234,took got badge,0.0,0.0,1.0,0.0,Neutral
235,linkedin game changer many people also agree linkedin pros cons think assesment something relive 💯and totally agree ken badges certificate wont get job 🙌,0.192,0.0,0.808,0.6124,Positive
236,ken sensei restoring selfesteem closing r assessment halfway haha  wasnt titled r assessment wouldnt known r lol,0.281,0.126,0.594,0.4344,Positive
237,taken python machine learning assessment passed dont think kind mark assessment skills may named test flight rather actual assessment,0.0,0.134,0.866,-0.4168,Negative
238,data science assessment assessments,0.0,0.0,1.0,0.0,Neutral
239,spot ,0.0,0.0,1.0,0.0,Neutral
240,took passed passed bunch assessments python one example theyre pretty bad,0.204,0.223,0.573,-0.0772,Negative
241,earned new subscriber love encouragement people like installed python last year stuck start cuz dunno specific purpose since wanna phd related ai predictive model learn whole coding python focus related ai coding,0.241,0.051,0.709,0.8176,Positive
242,i’ve taken assessment got badge think it’a rubbish don’t think employers even look,0.0,0.0,1.0,0.0,Neutral
243,terminology pretty silly feel like business value  everything,0.697,0.0,0.303,0.802,Positive
244,linkedin great things bad things,0.387,0.33,0.283,0.1531,Positive
